calisan_id,yas,departman,pozisyon,kidem_yili,aylik_maas,performans_puani,devamsizlik_gun,fazla_mesai,son_terfi_yili,egitim_saat,is_tatmini,calisma_modeli,sehir,ayrildi
68,48,Pazarlama,Junior,9,33600,84,17,Hayir,3,20,2,Ofis,Istanbul,0
69,38,Yazilim,Junior,13,48400,56,21,Hayir,7,36,4,Uzaktan,Istanbul,1
70,41,Yazilim,Kidemli,16,67300,72,1,Hayir,2,31,1,Ofis,Istanbul,0
71,55,Satis,Yonetici,2,70700,78,15,Hayir,2,35,1,Ofis,Istanbul,1
72,58,Operasyon,Uzman,9,51300,84,24,Hayir,3,50,2,Hibrit,Istanbul,0
73,50,Pazarlama,Kidemli,11,65700,84,18,Evet,2,11,1,Uzaktan,Istanbul,1
74,36,Yazilim,Uzman,15,58500,84,0,Evet,3,5,2,Uzaktan,Istanbul,1
75,28,Yazilim,Uzman,14,56900,67,23,Hayir,2,20,4,Ofis,Izmir,0
76,23,Pazarlama,Uzman,18,63900,52,17,Hayir,2,29,1,Ofis,Izmir,1
77,22,Yazilim,Uzman,0,34400,46,14,Hayir,0,54,3,Hibrit,Istanbul,1
78,40,Yazilim,Uzman,4,38100,70,3,Evet,1,49,5,Uzaktan,Ankara,1
79,36,Yazilim,Kidemli,17,75500,81,19,Hayir,0,36,4,Hibrit,Ankara,0
80,29,Pazarlama,Uzman,4,38400,88,17,Hayir,2,6,1,Hibrit,Istanbul,1
81,23,Yazilim,Junior,7,38600,65,15,Hayir,2,15,2,Hibrit,Istanbul,1
82,26,Satis,Junior,5,32300,88,10,Hayir,5,23,1,Hibrit,Izmir,0
83,34,Satis,Uzman,13,53300,78,14,Evet,1,33,4,Uzaktan,Istanbul,0
84,59,Yazilim,Yonetici,8,72500,95,17,Hayir,6,48,5,Ofis,Istanbul,0
85,57,Pazarlama,Junior,11,40400,84,0,Hayir,6,31,4,Ofis,Ankara,0
86,35,Operasyon,Junior,14,46500,100,15,Hayir,0,49,1,Ofis,Ankara,0
87,54,Yazilim,Uzman,3,34800,84,10,Evet,3,12,5,Hibrit,Izmir,1
88,48,Finans,Junior,0,23100,69,0,Evet,0,56,3,Ofis,Istanbul,1
89,55,Finans,Junior,12,46000,90,10,Hayir,7,11,3,Uzaktan,Izmir,0
90,29,Finans,Junior,0,22000,69,13,Evet,0,46,3,Uzaktan,Izmir,1
91,52,Satis,Junior,18,48800,77,19,Hayir,2,45,3,Hibrit,Istanbul,0
92,22,Finans,Kidemli,0,47500,79,22,Hayir,0,59,3,Hibrit,Istanbul,1
93,37,Yazilim,Junior,13,47300,88,2,Hayir,1,47,3,Hibrit,Istanbul,0
94,59,IK,Kidemli,10,64600,72,19,Hayir,7,24,2,Ofis,Istanbul,0
95,58,Finans,Uzman,17,58700,67,12,Hayir,6,34,5,Ofis,Istanbul,1
96,49,Satis,Kidemli,7,62900,69,12,Hayir,0,3,1,Hibrit,Istanbul,0
97,57,IK,Uzman,9,44400,76,20,Hayir,5,51,3,Uzaktan,Istanbul,0
98,48,Finans,Uzman,1,38500,62,19,Hayir,1,12,4,Uzaktan,Bursa,0
99,49,Pazarlama,Uzman,19,63500,77,20,Evet,1,35,2,Hibrit,Istanbul,1
100,53,Finans,Uzman,18,64300,71,1,Hayir,2,10,3,Uzaktan,Istanbul,0
101,41,Satis,Yonetici,12,80500,70,5,Hayir,7,31,1,Hibrit,Ankara,1
102,34,Yazilim,Yonetici,15,87100,79,5,Hayir,6,58,4,Ofis,Istanbul,0
103,58,Pazarlama,Kidemli,3,55400,69,18,Hayir,2,53,5,Uzaktan,Ankara,0
104,38,Operasyon,Junior,17,45500,83,19,Hayir,4,53,2,Hibrit,Istanbul,0
105,52,Yazilim,Kidemli,16,71000,79,11,Hayir,4,4,2,Hibrit,Istanbul,0
106,36,Yazilim,Junior,16,52200,65,17,Hayir,6,45,3,Uzaktan,Ankara,0
107,50,Finans,Kidemli,5,59000,73,12,Hayir,5,29,5,Hibrit,Istanbul,0
108,55,Yazilim,Junior,4,33600,40,0,Hayir,0,38,4,Ofis,Ankara,1
109,45,Pazarlama,Junior,17,55200,71,21,Evet,5,19,2,Ofis,Istanbul,1
110,34,Pazarlama,Kidemli,7,63700,76,3,Hayir,0,37,1,Hibrit,Bursa,0
111,32,Finans,Uzman,13,52900,60,5,Hayir,5,15,4,Ofis,Ankara,0
112,34,Yazilim,Yonetici,2,64400,90,7,Evet,2,5,5,Ofis,Istanbul,0
113,40,Finans,Junior,7,34800,73,17,Hayir,3,45,5,Ofis,Istanbul,0
114,50,Finans,Kidemli,9,59200,81,22,Evet,4,16,3,Hibrit,Istanbul,1
115,55,Pazarlama,Junior,3,28300,61,18,Evet,3,40,1,Ofis,Ankara,1
116,45,Pazarlama,Junior,2,27900,68,22,Hayir,2,56,4,Hibrit,Ankara,0
117,47,Pazarlama,Uzman,1,40500,91,18,Hayir,1,40,2,Hibrit,Istanbul,1
118,42,Satis,Yonetici,9,76600,93,12,Hayir,1,4,4,Ofis,Istanbul,0
119,51,Satis,Junior,15,46500,76,12,Evet,1,20,3,Ofis,Istanbul,0
120,27,Yazilim,Uzman,0,36900,65,22,Hayir,0,6,5,Uzaktan,Istanbul,0
121,35,Yazilim,Kidemli,1,46700,63,23,Hayir,1,14,5,Ofis,Istanbul,0
122,36,Operasyon,Uzman,14,51600,86,22,Hayir,1,31,3,Hibrit,Istanbul,0
123,36,Yazilim,Junior,6,35800,99,6,Evet,6,10,5,Ofis,Ankara,1
124,56,Pazarlama,Junior,13,42300,73,13,Hayir,1,48,4,Hibrit,Istanbul,0
125,41,Satis,Kidemli,3,56300,84,14,Hayir,2,6,2,Ofis,Istanbul,0
126,25,Yazilim,Uzman,1,31900,84,4,Hayir,1,56,4,Hibrit,Istanbul,0
127,39,Satis,Junior,3,28800,81,3,Hayir,1,28,5,Hibrit,Istanbul,0
128,52,Operasyon,Kidemli,17,75600,83,9,Hayir,0,56,2,Hibrit,Izmir,0
129,39,Yazilim,Kidemli,5,57900,83,3,Evet,5,28,1,Ofis,Istanbul,1
130,47,Pazarlama,Yonetici,1,70300,63,7,Hayir,1,18,3,Hibrit,Istanbul,0
131,35,Yazilim,Junior,8,42400,43,15,Evet,5,28,3,Uzaktan,Ankara,1
132,26,Operasyon,Uzman,10,53600,100,5,Hayir,5,59,1,Uzaktan,Ankara,1
133,58,Satis,Uzman,17,62100,72,9,Hayir,4,31,4,Uzaktan,Istanbul,0
134,52,Satis,Junior,17,49200,86,0,Hayir,2,1,4,Ofis,Istanbul,0
135,23,Finans,Junior,8,37800,75,10,Hayir,5,22,3,Hibrit,Istanbul,0
136,41,Satis,Yonetici,12,83500,82,1,Evet,5,32,5,Hibrit,Bursa,1
137,27,Finans,Kidemli,8,63300,64,12,Hayir,3,1,3,Ofis,Izmir,0
138,37,Pazarlama,Kidemli,10,63100,88,5,Hayir,1,28,2,Hibrit,Istanbul,1
139,22,Yazilim,Junior,6,35200,80,4,Hayir,3,31,3,Uzaktan,Istanbul,0
140,45,Finans,Uzman,12,54800,54,23,Hayir,0,50,4,Ofis,Izmir,0
141,33,Pazarlama,Junior,2,26600,78,10,Evet,2,48,3,Uzaktan,Istanbul,0
142,33,Yazilim,Kidemli,8,59000,89,2,Evet,3,42,1,Ofis,Istanbul,0
143,47,Yazilim,Uzman,5,44300,57,2,Hayir,1,48,4,Hibrit,Istanbul,0
144,24,Finans,Kidemli,5,53200,70,13,Hayir,4,20,5,Ofis,Ankara,0
145,49,Yazilim,Yonetici,10,78900,100,8,Hayir,0,36,4,Uzaktan,Izmir,0
146,30,Satis,Junior,15,48800,90,15,Hayir,7,28,5,Ofis,Ankara,0
147,45,Yazilim,Uzman,13,53400,90,16,Hayir,6,55,2,Ofis,Bursa,1
148,28,Finans,Uzman,15,58500,72,20,Hayir,5,41,1,Ofis,Istanbul,1
149,23,Yazilim,Kidemli,15,70500,90,24,Evet,5,12,2,Hibrit,Istanbul,1
150,37,Satis,Uzman,16,54800,45,6,Hayir,3,35,1,Hibrit,Bursa,1
151,56,IK,Uzman,9,49400,79,5,Hayir,2,35,4,Ofis,Ankara,0
152,41,Yazilim,Yonetici,19,99300,58,8,Evet,0,54,4,Hibrit,Antalya,0
153,28,Finans,Uzman,3,38800,67,21,Hayir,3,4,5,Uzaktan,Ankara,0
154,31,Finans,Kidemli,6,52200,81,11,Hayir,2,8,3,Ofis,Ankara,0
155,53,Yazilim,Junior,15,46600,69,0,Evet,0,6,5,Hibrit,Istanbul,0
156,51,Finans,Uzman,8,50800,75,1,Evet,0,2,3,Ofis,Istanbul,1
157,39,Yazilim,Kidemli,1,53400,65,4,Hayir,1,36,2,Ofis,Istanbul,1
158,35,Pazarlama,Kidemli,17,72700,75,11,Hayir,2,55,2,Hibrit,Ankara,0
159,28,Finans,Kidemli,18,72500,91,18,Hayir,3,58,4,Hibrit,Istanbul,0
160,45,Finans,Junior,11,39200,57,3,Hayir,5,56,2,Uzaktan,Izmir,1
161,52,Satis,Yonetici,2,68800,67,2,Hayir,2,15,2,Hibrit,Ankara,1
162,48,Finans,Yonetici,1,66800,88,15,Hayir,1,30,5,Ofis,Ankara,1
163,25,Operasyon,Junior,1,28500,68,17,Hayir,1,44,3,Hibrit,Bursa,1
164,51,Finans,Junior,5,32000,80,13,Hayir,1,54,3,Uzaktan,Istanbul,0
165,57,Satis,Kidemli,5,54300,61,17,Evet,3,38,5,Uzaktan,Istanbul,0
166,28,Yazilim,Kidemli,8,64000,73,3,Evet,7,45,2,Hibrit,Bursa,0
167,28,IK,Uzman,3,43400,74,17,Hayir,3,10,1,Ofis,Bursa,1
168,33,Pazarlama,Uzman,10,50000,79,16,Hayir,5,7,5,Hibrit,Istanbul,0
169,54,Operasyon,Junior,19,53100,53,11,Hayir,3,52,4,Ofis,Bursa,0
170,53,Satis,Kidemli,13,61900,63,19,Hayir,4,33,3,Ofis,Ankara,1
171,41,Yazilim,Uzman,6,42000,72,19,Evet,6,8,3,Uzaktan,Istanbul,1
172,48,Satis,Junior,13,48300,89,15,Hayir,3,35,2,Uzaktan,Istanbul,0
173,22,Satis,Junior,12,40800,85,18,Hayir,6,41,5,Hibrit,Istanbul,0
174,41,Satis,Kidemli,0,48400,75,8,Hayir,0,26,3,Ofis,Ankara,0
175,33,Satis,Junior,4,35900,59,19,Evet,4,36,4,Hibrit,Ankara,0
176,56,Operasyon,Junior,12,47400,57,1,Hayir,0,46,3,Uzaktan,Izmir,0
177,25,Satis,Junior,4,23300,71,23,Evet,1,47,1,Ofis,Istanbul,0
178,31,Operasyon,Uzman,12,53300,81,20,Hayir,7,3,2,Ofis,Bursa,0
179,25,Operasyon,Uzman,9,48600,91,4,Hayir,2,31,1,Hibrit,Istanbul,0
180,39,Pazarlama,Uzman,16,56900,65,3,Hayir,1,55,5,Uzaktan,Istanbul,0
181,48,Yazilim,Uzman,0,35600,49,23,Hayir,0,17,5,Ofis,Ankara,0
182,40,Yazilim,Junior,0,25400,75,19,Hayir,0,17,1,Uzaktan,Istanbul,0
183,36,IK,Junior,13,43700,82,1,Hayir,2,12,2,Hibrit,Ankara,0
184,28,IK,Kidemli,11,61300,79,17,Hayir,0,51,2,Ofis,Istanbul,0
185,47,Pazarlama,Kidemli,11,65100,87,21,Hayir,2,3,2,Uzaktan,Ankara,1
186,29,IK,Junior,4,26900,63,17,Hayir,2,21,1,Hibrit,Izmir,0
187,39,Operasyon,Yonetici,10,78700,68,5,Hayir,0,54,2,Hibrit,Istanbul,0
188,46,Yazilim,Junior,15,44200,81,4,Hayir,0,9,4,Ofis,Istanbul,0
189,57,Yazilim,Kidemli,7,58900,78,22,Hayir,3,50,3,Ofis,Ankara,0
190,22,Satis,Uzman,19,66700,77,16,Hayir,2,7,3,Ofis,Izmir,0
191,31,Finans,Uzman,10,54200,76,8,Evet,3,39,2,Hibrit,Istanbul,0
192,37,Satis,Uzman,14,56500,75,14,Hayir,0,20,2,Hibrit,Antalya,0
193,26,Finans,Junior,17,53600,78,20,Hayir,3,47,1,Hibrit,Istanbul,1
194,33,Finans,Uzman,3,42800,56,0,Evet,3,30,5,Ofis,Istanbul,0
195,30,Satis,Uzman,19,66000,60,11,Hayir,2,57,5,Hibrit,Bursa,0
196,51,Satis,Kidemli,1,54400,69,8,Hayir,0,12,3,Ofis,Istanbul,1
197,55,Yazilim,Yonetici,10,78600,72,16,Hayir,0,26,1,Hibrit,Bursa,0
198,38,Operasyon,Junior,2,26900,53,8,Evet,2,27,1,Hibrit,Istanbul,0
199,25,Pazarlama,Kidemli,10,57600,58,23,Hayir,0,14,4,Ofis,Istanbul,0
200,56,Yazilim,Kidemli,16,72200,72,2,Evet,6,27,3,Ofis,Istanbul,0
201,22,Yazilim,Uzman,9,53000,77,9,Hayir,7,58,5,Ofis,Istanbul,0
202,53,Yazilim,Kidemli,12,68200,91,15,Hayir,1,56,5,Hibrit,Istanbul,0
203,27,Satis,Junior,1,33500,76,19,Hayir,1,53,4,Uzaktan,Antalya,0
204,29,Satis,Uzman,11,55700,50,20,Evet,7,28,2,Hibrit,Istanbul,0
205,25,Pazarlama,Uzman,18,56700,73,17,Evet,5,41,1,Hibrit,Bursa,1
206,57,Yazilim,Junior,0,25700,88,7,Hayir,0,44,5,Hibrit,Istanbul,0
207,50,Pazarlama,Yonetici,2,62500,73,0,Evet,2,34,3,Uzaktan,Ankara,1
208,44,Satis,Kidemli,1,47700,65,19,Hayir,1,19,3,Ofis,Ankara,0
209,50,Operasyon,Kidemli,15,69600,66,22,Evet,1,29,4,Ofis,Istanbul,0
210,26,Finans,Kidemli,7,57200,71,22,Evet,7,0,1,Ofis,Istanbul,1
211,30,Satis,Yonetici,17,88900,81,24,Hayir,4,6,3,Ofis,Ankara,1
212,26,Yazilim,Kidemli,0,53000,61,17,Hayir,0,44,4,Ofis,Ankara,0
213,30,Pazarlama,Kidemli,6,53700,69,20,Hayir,2,32,1,Ofis,Istanbul,0
214,39,Finans,Uzman,4,43200,59,13,Hayir,4,58,4,Uzaktan,Istanbul,0
215,28,Finans,Kidemli,5,50900,51,18,Evet,2,48,3,Uzaktan,Istanbul,0
216,40,Pazarlama,Junior,12,42200,80,5,Hayir,4,56,1,Uzaktan,Istanbul,0
217,23,Yazilim,Uzman,14,56200,68,19,Hayir,4,10,4,Hibrit,Istanbul,0
218,59,Yazilim,Yonetici,12,82200,75,24,Evet,1,27,1,Ofis,Izmir,1
219,39,Operasyon,Uzman,2,34400,79,10,Hayir,2,20,2,Ofis,Istanbul,1
220,29,Satis,Junior,13,43200,72,11,Hayir,6,51,4,Ofis,Istanbul,0
221,57,Satis,Uzman,12,53800,67,2,Evet,1,50,2,Ofis,Istanbul,1
222,27,Yazilim,Kidemli,3,49700,68,20,Evet,0,37,4,Ofis,Istanbul,0
223,52,Operasyon,Kidemli,18,71200,61,2,Hayir,1,53,1,Ofis,Istanbul,1
224,48,Satis,Kidemli,4,58200,65,19,Hayir,2,21,5,Ofis,Istanbul,0
225,36,Operasyon,Kidemli,16,77000,74,20,Hayir,1,2,3,Ofis,Bursa,0
226,43,Yazilim,Junior,8,35800,89,21,Evet,5,40,5,Uzaktan,Istanbul,0
227,40,Yazilim,Yonetici,6,69800,73,12,Hayir,2,21,1,Hibrit,Ankara,0
228,27,Operasyon,Junior,13,49200,80,3,Hayir,6,10,5,Ofis,Istanbul,0
229,51,Yazilim,Junior,12,40900,93,19,Hayir,5,24,4,Hibrit,Istanbul,0
230,33,Pazarlama,Uzman,7,44400,79,18,Hayir,4,14,4,Ofis,Istanbul,0
231,40,Pazarlama,Junior,7,34800,82,22,Hayir,5,27,2,Uzaktan,Istanbul,0
232,30,Pazarlama,Junior,4,32800,47,1,Evet,4,9,5,Hibrit,Istanbul,1
233,31,Yazilim,Uzman,0,30000,59,5,Hayir,0,13,1,Hibrit,Istanbul,0
234,41,IK,Junior,10,43800,74,7,Hayir,6,4,3,Uzaktan,Istanbul,0
235,58,Yazilim,Uzman,13,54400,72,24,Hayir,4,51,5,Ofis,Istanbul,0
236,29,Yazilim,Yonetici,1,67700,57,11,Evet,1,52,3,Hibrit,Izmir,0
237,34,Satis,Uzman,4,38100,82,17,Hayir,4,25,1,Ofis,Ankara,0
238,49,Yazilim,Yonetici,4,68400,79,21,Hayir,0,3,5,Hibrit,Ankara,0
239,51,Pazarlama,Junior,14,40800,62,9,Hayir,5,3,2,Hibrit,Bursa,0
240,40,Yazilim,Junior,5,36700,87,0,Evet,0,21,2,Ofis,Izmir,1
241,56,Pazarlama,Yonetici,16,90200,80,18,Evet,5,47,1,Hibrit,Bursa,1
242,24,Satis,Kidemli,14,72300,59,1,Hayir,1,8,5,Ofis,Istanbul,0
243,38,Satis,Uzman,19,60700,64,14,Hayir,1,44,3,Ofis,Istanbul,1
244,40,Pazarlama,Kidemli,16,74500,85,21,Hayir,2,6,3,Ofis,Istanbul,0
245,55,Satis,Uzman,9,49900,71,17,Hayir,3,44,1,Hibrit,Bursa,0
246,44,IK,Yonetici,1,64200,65,10,Evet,1,2,3,Ofis,Izmir,0
247,30,Operasyon,Kidemli,18,72800,91,16,Hayir,2,46,5,Hibrit,Ankara,0
248,41,Operasyon,Uzman,13,52000,77,1,Hayir,3,7,1,Ofis,Istanbul,0
249,48,Operasyon,Uzman,2,36300,85,19,Hayir,1,53,4,Ofis,Istanbul,0
250,30,Operasyon,Junior,12,47400,88,15,Hayir,7,46,3,Uzaktan,Izmir,0
251,32,Yazilim,Junior,19,55300,69,22,Hayir,2,17,3,Uzaktan,Istanbul,0
252,57,Pazarlama,Kidemli,1,43000,74,9,Evet,1,10,4,Hibrit,Izmir,0
253,39,Pazarlama,Junior,13,44700,79,12,Hayir,6,37,4,Ofis,Istanbul,0
254,30,Finans,Uzman,8,50500,60,13,Hayir,4,22,3,Ofis,Istanbul,0
255,47,Operasyon,Uzman,2,35600,58,24,Evet,2,26,3,Hibrit,Istanbul,1
256,29,Satis,Kidemli,4,57900,92,15,Hayir,1,17,3,Uzaktan,Istanbul,0
257,54,Yazilim,Uzman,17,62300,60,16,Hayir,4,7,3,Ofis,Istanbul,1
258,38,Yazilim,Uzman,15,52000,79,23,Hayir,2,36,5,Hibrit,Istanbul,0
259,54,Pazarlama,Uzman,16,57100,79,23,Hayir,3,2,1,Ofis,Antalya,0
260,34,Yazilim,Junior,12,44800,65,17,Hayir,0,49,1,Ofis,Istanbul,1
261,33,Yazilim,Junior,3,30000,72,6,Hayir,3,49,5,Ofis,Istanbul,0
262,51,Pazarlama,Kidemli,17,73300,69,9,Hayir,3,58,2,Hibrit,Antalya,0
263,58,Operasyon,Uzman,17,60900,62,15,Hayir,5,12,3,Hibrit,Istanbul,0
264,26,Satis,Uzman,10,50700,81,22,Hayir,4,44,1,Hibrit,Istanbul,1
265,53,IK,Uzman,14,61100,71,20,Evet,1,49,3,Ofis,Istanbul,0
266,53,Pazarlama,Uzman,16,54900,87,21,Hayir,6,12,4,Uzaktan,Izmir,0
267,46,Pazarlama,Uzman,15,53100,82,22,Hayir,0,25,4,Uzaktan,Ankara,0
268,45,Yazilim,Kidemli,2,48300,77,17,Evet,2,22,4,Uzaktan,Izmir,1
269,38,Satis,Uzman,8,44100,85,22,Hayir,4,30,2,Ofis,Ankara,1
270,53,Yazilim,Uzman,7,41500,63,21,Hayir,5,2,4,Uzaktan,Ankara,1
271,45,Satis,Junior,0,22700,69,4,Evet,0,12,1,Hibrit,Antalya,1
272,27,Yazilim,Kidemli,3,47900,85,18,Hayir,0,25,2,Hibrit,Istanbul,1
273,45,Operasyon,Uzman,0,37300,75,11,Hayir,0,32,5,Hibrit,Istanbul,0
274,39,Operasyon,Uzman,2,39300,66,3,Evet,2,26,1,Hibrit,Istanbul,0
275,40,Yazilim,Kidemli,8,56200,64,5,Hayir,0,24,3,Ofis,Istanbul,0
276,56,Satis,Uzman,13,54300,84,24,Hayir,3,17,2,Hibrit,Izmir,0
277,46,Yazilim,Uzman,18,62200,81,5,Hayir,2,50,3,Uzaktan,Istanbul,0
278,55,Operasyon,Uzman,7,42600,82,0,Evet,2,11,1,Hibrit,Izmir,1
279,29,Finans,Yonetici,2,70500,81,23,Evet,2,35,5,Uzaktan,Ankara,0
280,33,Pazarlama,Junior,0,22800,69,10,Evet,0,32,2,Uzaktan,Istanbul,1
281,30,Pazarlama,Yonetici,15,84500,49,21,Hayir,3,36,1,Ofis,Istanbul,0
282,51,IK,Junior,17,49500,82,18,Hayir,4,6,3,Hibrit,Antalya,1
283,40,Finans,Yonetici,12,80500,73,2,Hayir,5,17,4,Uzaktan,Istanbul,0
284,48,Satis,Uzman,1,35700,64,21,Evet,1,27,2,Hibrit,Istanbul,0
285,37,Satis,Uzman,13,54000,84,7,Hayir,1,11,2,Uzaktan,Ankara,0
286,36,Finans,Uzman,1,36200,74,12,Hayir,1,54,3,Uzaktan,Istanbul,0
287,35,Satis,Kidemli,9,57800,98,24,Evet,0,16,1,Hibrit,Istanbul,0
288,50,Satis,Uzman,3,41100,56,0,Evet,2,36,2,Ofis,Izmir,1
289,23,Pazarlama,Kidemli,8,62800,75,22,Evet,1,2,2,Ofis,Bursa,1
290,39,Pazarlama,Uzman,19,60200,63,17,Evet,0,18,5,Hibrit,Ankara,1
291,40,Yazilim,Junior,15,50200,75,2,Hayir,6,15,1,Hibrit,Antalya,1
