musteri_id,yas,musteri_suresi_ay,aylik_ucret,toplam_ucret,sozlesme_tipi,internet_servisi,odeme_yontemi,bakmakla_yukumlu,churn
42,65,65,98.76,6417.4,1 Yillik,DSL,Otomatik Odeme,Hayir,0
43,61,54,83.24,4458.61,1 Yillik,Yok,Havale,Hayir,1
44,39,54,112.92,6216.87,2 Yillik,DSL,Havale,Evet,0
45,22,20,118.1,2358.69,Aylik,Yok,Havale,Hayir,0
46,78,72,24.23,1724.17,Aylik,DSL,Otomatik Odeme,Evet,0
47,45,33,64.49,2129.47,Aylik,Fiber,Elektronik Cek,Hayir,0
48,73,39,74.7,2813.16,1 Yillik,Fiber,Kredi Karti,Evet,0
49,60,55,34.67,1868.86,Aylik,Yok,Elektronik Cek,Hayir,1
50,66,48,53.63,2623.4,1 Yillik,DSL,Elektronik Cek,Hayir,0
51,65,13,118.76,1512.43,Aylik,DSL,Kredi Karti,Evet,0
52,30,22,21.62,434.2,2 Yillik,Fiber,Elektronik Cek,Hayir,1
53,40,27,65.25,1827.23,2 Yillik,Fiber,Elektronik Cek,Hayir,1
54,46,69,104.27,7261.64,Aylik,Fiber,Kredi Karti,Hayir,1
55,48,52,52.39,2750.13,2 Yillik,DSL,Kredi Karti,Evet,0
56,20,27,67.98,1812.7,2 Yillik,DSL,Elektronik Cek,Hayir,0
57,51,53,117.8,6231.43,Aylik,Yok,Elektronik Cek,Hayir,1
58,27,54,67.49,3604.25,Aylik,Fiber,Elektronik Cek,Hayir,1
59,64,29,33.09,909.87,1 Yillik,Fiber,Havale,Hayir,1
60,60,30,25.17,702.88,Aylik,DSL,Elektronik Cek,Hayir,0
61,75,65,114.54,7414.2,Aylik,DSL,Otomatik Odeme,Hayir,1
62,64,41,46.58,1858.04,Aylik,Yok,Kredi Karti,Evet,0
63,40,11,70.41,696.32,2 Yillik,Fiber,Elektronik Cek,Hayir,1
64,77,52,29.07,1522.61,Aylik,DSL,Kredi Karti,Hayir,0
65,43,43,62.37,2693.64,1 Yillik,Yok,Kredi Karti,Hayir,0
66,38,37,113.01,4266.41,Aylik,Fiber,Otomatik Odeme,Evet,0
67,74,53,70.24,3689.3,Aylik,DSL,Kredi Karti,Hayir,1
68,40,66,117.11,7744.07,2 Yillik,Fiber,Elektronik Cek,Hayir,0
69,22,24,45.88,1116.76,Aylik,Fiber,Elektronik Cek,Hayir,1
70,47,31,70.45,2171.26,Aylik,Fiber,Otomatik Odeme,Hayir,1
71,67,14,105.95,1520.52,Aylik,Fiber,Elektronik Cek,Hayir,1
72,29,47,64.83,3085.77,1 Yillik,Fiber,Elektronik Cek,Hayir,0
73,46,29,47.95,1406.92,Aylik,DSL,Otomatik Odeme,Evet,0
74,26,25,105.55,2625.97,Aylik,Yok,Otomatik Odeme,Hayir,0
75,60,51,58.99,2990.61,Aylik,Fiber,Elektronik Cek,Hayir,0
76,47,30,73.07,2123.71,Aylik,Fiber,Kredi Karti,Hayir,0
77,38,34,117.65,3959.8,Aylik,Fiber,Kredi Karti,Evet,0
78,32,32,38.65,1205.7,Aylik,Fiber,Havale,Evet,0
79,52,19,50.14,896.46,Aylik,Fiber,Elektronik Cek,Hayir,1
80,59,10,23.11,253.1,Aylik,Fiber,Elektronik Cek,Evet,0
81,76,60,59.18,3610.63,1 Yillik,Yok,Otomatik Odeme,Evet,0
82,45,7,40.02,234.74,1 Yillik,Yok,Kredi Karti,Evet,0
83,27,24,88.0,2126.17,Aylik,Yok,Kredi Karti,Hayir,1
84,69,49,38.13,1816.66,Aylik,DSL,Kredi Karti,Hayir,1
85,57,10,87.48,859.55,Aylik,Fiber,Elektronik Cek,Hayir,1
86,61,48,46.35,2190.28,2 Yillik,Fiber,Elektronik Cek,Hayir,0
87,24,53,55.52,2972.65,Aylik,DSL,Kredi Karti,Hayir,0
88,37,48,54.89,2600.78,Aylik,Fiber,Otomatik Odeme,Hayir,0
89,65,22,91.68,2067.54,Aylik,DSL,Havale,Evet,0
90,69,2,66.65,121.01,Aylik,DSL,Elektronik Cek,Hayir,1
91,44,64,56.13,3559.84,Aylik,DSL,Otomatik Odeme,Evet,1
92,67,24,105.26,2463.57,Aylik,DSL,Kredi Karti,Hayir,0
93,70,58,77.2,4490.26,1 Yillik,DSL,Otomatik Odeme,Evet,0
94,42,15,41.38,665.46,1 Yillik,Fiber,Otomatik Odeme,Evet,0
95,73,12,110.01,1333.79,1 Yillik,Fiber,Otomatik Odeme,Hayir,0
96,35,57,54.27,3205.33,1 Yillik,DSL,Kredi Karti,Evet,0
97,32,68,23.9,1696.69,Aylik,DSL,Havale,Evet,0
98,60,62,69.46,4291.14,2 Yillik,Yok,Kredi Karti,Evet,0
99,57,55,32.39,1765.55,1 Yillik,DSL,Havale,Hayir,0
100,26,18,43.85,812.78,2 Yillik,Fiber,Otomatik Odeme,Evet,0
101,69,66,94.71,6208.96,1 Yillik,Fiber,Otomatik Odeme,Evet,0
102,30,49,33.08,1679.23,Aylik,Fiber,Otomatik Odeme,Evet,0
103,67,13,100.69,1327.05,Aylik,Yok,Havale,Hayir,0
104,18,10,113.69,1149.72,Aylik,Fiber,Otomatik Odeme,Evet,1
105,67,63,80.65,5115.3,Aylik,Yok,Otomatik Odeme,Evet,0
106,66,20,91.04,1906.94,Aylik,Yok,Otomatik Odeme,Hayir,0
107,66,56,91.36,5124.71,Aylik,DSL,Otomatik Odeme,Hayir,1
108,59,10,119.28,1187.15,Aylik,DSL,Elektronik Cek,Evet,1
109,47,21,54.15,1212.59,2 Yillik,DSL,Kredi Karti,Evet,0
110,61,21,36.29,810.47,1 Yillik,Fiber,Havale,Evet,0
111,35,21,71.92,1494.27,1 Yillik,Fiber,Otomatik Odeme,Hayir,1
112,66,49,73.32,3592.94,Aylik,DSL,Havale,Evet,0
113,52,66,37.79,2503.91,1 Yillik,DSL,Kredi Karti,Hayir,0
114,46,66,81.31,5384.55,2 Yillik,Fiber,Otomatik Odeme,Hayir,0
115,49,54,21.41,1088.31,1 Yillik,Fiber,Havale,Hayir,0
116,53,15,112.77,1614.43,1 Yillik,Fiber,Otomatik Odeme,Evet,0
117,20,70,46.46,3207.83,Aylik,Yok,Havale,Hayir,0
118,26,40,23.96,910.16,Aylik,DSL,Havale,Hayir,0
119,33,40,30.82,1200.61,1 Yillik,Fiber,Havale,Hayir,0
120,25,51,44.02,2276.76,2 Yillik,Yok,Havale,Evet,0
121,45,56,47.39,2645.39,Aylik,Fiber,Havale,Hayir,1
122,59,69,23.28,1616.14,Aylik,Fiber,Havale,Hayir,0
123,58,42,47.94,1952.26,Aylik,Fiber,Otomatik Odeme,Hayir,0
124,47,44,39.29,1705.68,Aylik,DSL,Havale,Hayir,0
125,71,54,57.86,3153.8,2 Yillik,Yok,Havale,Hayir,0
126,53,19,58.52,1141.63,1 Yillik,Fiber,Otomatik Odeme,Hayir,0
127,22,23,53.9,1203.47,Aylik,Fiber,Havale,Hayir,1
128,65,46,52.79,2436.42,Aylik,Fiber,Kredi Karti,Hayir,0
129,53,5,28.97,254.79,Aylik,Fiber,Kredi Karti,Hayir,1
130,57,24,22.52,539.6,Aylik,DSL,Havale,Evet,0
131,53,52,40.21,2056.26,Aylik,Fiber,Elektronik Cek,Evet,0
132,52,71,95.66,6783.17,2 Yillik,Fiber,Otomatik Odeme,Hayir,1
133,23,38,119.08,4529.65,1 Yillik,DSL,Kredi Karti,Hayir,0
134,52,29,112.85,3265.09,Aylik,Fiber,Elektronik Cek,Evet,0
135,67,32,70.42,2251.87,1 Yillik,Yok,Havale,Hayir,1
136,36,50,73.18,3586.83,1 Yillik,Fiber,Havale,Hayir,0
137,55,40,51.46,2010.27,Aylik,Fiber,Havale,Hayir,0
138,19,2,97.39,187.31,1 Yillik,Fiber,Havale,Evet,0
139,39,39,96.48,3754.46,1 Yillik,Yok,Kredi Karti,Hayir,0
140,45,29,104.43,3000.16,2 Yillik,Fiber,Kredi Karti,Hayir,1
141,78,51,109.55,5578.2,Aylik,Yok,Elektronik Cek,Evet,0
142,31,64,63.43,4062.57,Aylik,DSL,Kredi Karti,Hayir,1
143,35,70,96.69,6812.77,Aylik,Yok,Havale,Hayir,0
144,43,44,100.64,4423.2,Aylik,Yok,Kredi Karti,Hayir,1
145,79,27,50.85,1392.91,Aylik,Fiber,Kredi Karti,Hayir,0
146,70,32,112.92,3586.36,1 Yillik,Fiber,Kredi Karti,Evet,1
147,20,13,29.43,411.19,Aylik,DSL,Havale,Evet,0
148,32,68,119.43,8140.03,Aylik,Fiber,Kredi Karti,Evet,1
149,68,62,97.01,6057.91,2 Yillik,DSL,Kredi Karti,Evet,0
150,21,62,29.33,1854.13,Aylik,DSL,Havale,Hayir,1
151,71,24,85.62,2084.32,Aylik,Yok,Havale,Evet,1
152,35,24,23.42,557.16,1 Yillik,DSL,Kredi Karti,Hayir,0
153,74,62,97.02,6027.49,Aylik,Fiber,Kredi Karti,Evet,1
154,36,40,99.92,4049.98,Aylik,DSL,Otomatik Odeme,Evet,0
155,44,51,80.24,4059.64,1 Yillik,Fiber,Elektronik Cek,Evet,0
156,59,36,105.69,3773.42,Aylik,Fiber,Kredi Karti,Hayir,1
157,25,32,29.79,962.35,Aylik,DSL,Havale,Hayir,1
158,52,46,47.59,2209.9,Aylik,Fiber,Havale,Hayir,1
159,49,59,61.42,3582.57,2 Yillik,Yok,Otomatik Odeme,Evet,0
160,66,25,24.25,602.51,Aylik,Fiber,Otomatik Odeme,Hayir,1
161,79,59,64.82,3819.68,1 Yillik,Yok,Otomatik Odeme,Hayir,1
162,59,18,46.52,726.6,Aylik,Fiber,Kredi Karti,Hayir,1
163,43,30,59.27,1767.12,1 Yillik,Fiber,Havale,Evet,0
164,43,66,62.51,4117.79,Aylik,DSL,Havale,Evet,0
165,43,69,107.94,7439.85,Aylik,DSL,Elektronik Cek,Evet,1
166,68,67,47.03,3221.81,Aylik,Yok,Otomatik Odeme,Hayir,0
167,37,23,109.37,2454.72,1 Yillik,Fiber,Havale,Hayir,0
168,28,61,62.6,3777.37,Aylik,Fiber,Elektronik Cek,Hayir,0
169,38,68,52.78,3458.43,Aylik,Yok,Havale,Hayir,1
170,19,71,70.25,4963.7,Aylik,DSL,Kredi Karti,Hayir,0
171,24,2,61.77,103.76,Aylik,Fiber,Havale,Hayir,0
172,23,54,45.74,2444.46,1 Yillik,DSL,Elektronik Cek,Evet,0
173,65,72,70.27,5114.82,Aylik,Yok,Havale,Hayir,0
174,62,56,35.18,2013.11,Aylik,DSL,Elektronik Cek,Evet,1
175,61,17,55.19,942.12,Aylik,DSL,Elektronik Cek,Evet,0
176,46,55,76.58,4193.37,Aylik,Fiber,Havale,Evet,0
177,62,8,61.34,542.03,Aylik,DSL,Otomatik Odeme,Hayir,1
178,27,35,102.39,3582.66,Aylik,Yok,Kredi Karti,Hayir,1
179,73,46,45.67,2059.91,Aylik,Fiber,Otomatik Odeme,Hayir,0
180,49,33,116.98,3774.53,2 Yillik,DSL,Kredi Karti,Evet,0
181,76,51,98.47,4999.9,Aylik,DSL,Havale,Hayir,0
182,27,18,116.76,2139.41,2 Yillik,Yok,Otomatik Odeme,Evet,0
183,48,44,103.81,4681.47,Aylik,Fiber,Elektronik Cek,Hayir,0
184,61,47,34.21,1610.95,Aylik,Yok,Havale,Hayir,1
185,48,46,72.65,3303.63,Aylik,DSL,Otomatik Odeme,Hayir,0
186,45,21,37.0,717.75,Aylik,Yok,Kredi Karti,Hayir,0
187,28,22,101.82,2267.64,1 Yillik,Fiber,Elektronik Cek,Hayir,0
188,41,19,78.42,1401.75,2 Yillik,Fiber,Elektronik Cek,Hayir,1
189,32,34,46.34,1603.08,1 Yillik,Fiber,Kredi Karti,Evet,0
190,36,43,112.96,4898.17,1 Yillik,DSL,Otomatik Odeme,Hayir,0
191,60,27,31.52,872.85,Aylik,Yok,Otomatik Odeme,Evet,1
192,57,30,76.39,2280.72,Aylik,Yok,Kredi Karti,Hayir,0
193,55,21,92.1,1962.35,1 Yillik,Fiber,Kredi Karti,Hayir,1
194,40,16,25.88,422.63,Aylik,Yok,Kredi Karti,Hayir,1
195,77,48,79.79,3791.01,Aylik,DSL,Havale,Hayir,0
196,23,59,101.59,6086.33,2 Yillik,DSL,Havale,Evet,0
197,39,21,26.75,544.17,2 Yillik,DSL,Elektronik Cek,Hayir,0
198,25,62,71.22,4454.43,1 Yillik,Fiber,Elektronik Cek,Evet,0
199,39,42,45.86,1805.19,Aylik,DSL,Kredi Karti,Hayir,0
200,77,13,86.29,1185.59,2 Yillik,Fiber,Havale,Hayir,0
201,40,27,31.87,933.93,Aylik,DSL,Otomatik Odeme,Hayir,0
202,74,1,113.71,115.2,Aylik,Fiber,Otomatik Odeme,Evet,1
203,48,3,109.47,356.35,Aylik,Yok,Havale,Evet,1
204,61,25,38.6,992.93,2 Yillik,Fiber,Kredi Karti,Hayir,0
205,46,33,52.33,1694.75,2 Yillik,DSL,Kredi Karti,Evet,0
206,34,58,78.76,4595.44,1 Yillik,Fiber,Havale,Evet,0
207,65,10,91.81,877.67,Aylik,DSL,Havale,Hayir,1
208,78,61,64.27,3890.03,Aylik,Fiber,Havale,Hayir,0
209,34,17,35.63,662.06,Aylik,Fiber,Kredi Karti,Evet,0
210,66,10,30.42,352.93,2 Yillik,Fiber,Havale,Hayir,1
211,34,51,119.98,6083.66,Aylik,DSL,Havale,Hayir,0
212,62,56,65.54,3633.56,Aylik,Yok,Havale,Hayir,1
213,66,44,107.25,4686.72,1 Yillik,Yok,Kredi Karti,Evet,0
214,45,9,68.24,650.79,Aylik,Fiber,Otomatik Odeme,Evet,1
215,63,9,112.24,960.16,2 Yillik,Yok,Havale,Evet,1
216,34,29,28.78,852.46,Aylik,Yok,Havale,Hayir,1
217,22,33,31.4,1073.54,2 Yillik,DSL,Otomatik Odeme,Hayir,0
218,23,72,112.96,8128.71,Aylik,Fiber,Elektronik Cek,Evet,1
219,45,21,114.75,2460.25,Aylik,DSL,Kredi Karti,Evet,0
220,73,14,51.47,705.36,Aylik,Fiber,Kredi Karti,Hayir,1
221,25,69,55.52,3820.19,Aylik,DSL,Kredi Karti,Hayir,0
222,46,12,65.25,734.14,1 Yillik,Yok,Elektronik Cek,Hayir,0
223,61,2,61.62,174.1,Aylik,Fiber,Havale,Evet,0
224,30,31,39.0,1170.67,Aylik,DSL,Havale,Evet,0
225,62,29,109.84,3202.85,1 Yillik,Fiber,Elektronik Cek,Hayir,1
226,36,45,45.33,2036.28,Aylik,Fiber,Elektronik Cek,Evet,0
227,68,64,90.53,5741.28,1 Yillik,Fiber,Kredi Karti,Evet,0
228,53,68,26.72,1786.5,1 Yillik,Yok,Kredi Karti,Hayir,1
229,51,21,23.88,570.62,Aylik,DSL,Otomatik Odeme,Hayir,0
230,28,71,85.37,6071.35,1 Yillik,Fiber,Otomatik Odeme,Evet,0
231,46,46,53.9,2428.94,Aylik,Fiber,Otomatik Odeme,Hayir,0
232,71,6,85.55,528.57,Aylik,Fiber,Otomatik Odeme,Hayir,1
233,19,68,29.4,1991.89,Aylik,Fiber,Havale,Evet,1
234,65,10,114.99,1322.6,2 Yillik,DSL,Otomatik Odeme,Hayir,0
235,48,43,94.85,4092.81,1 Yillik,DSL,Otomatik Odeme,Evet,0
236,62,57,107.63,6115.88,Aylik,Fiber,Otomatik Odeme,Hayir,1
237,59,18,33.65,676.7,2 Yillik,Yok,Kredi Karti,Hayir,0
238,44,20,52.02,948.35,Aylik,DSL,Kredi Karti,Hayir,0
239,37,35,56.83,1993.77,2 Yillik,DSL,Havale,Evet,0
240,56,64,73.72,4817.8,1 Yillik,Fiber,Elektronik Cek,Hayir,0
241,26,17,49.69,838.92,2 Yillik,Yok,Otomatik Odeme,Hayir,0
242,54,48,26.06,1164.21,2 Yillik,Fiber,Havale,Evet,0
243,23,33,56.89,1857.57,2 Yillik,DSL,Otomatik Odeme,Hayir,0
244,58,9,45.45,481.78,Aylik,Fiber,Otomatik Odeme,Hayir,1
245,56,52,58.59,3065.48,1 Yillik,Fiber,Otomatik Odeme,Hayir,0
246,23,60,39.7,2340.06,2 Yillik,Fiber,Kredi Karti,Hayir,0
247,64,42,46.19,1905.72,1 Yillik,DSL,Kredi Karti,Hayir,1
248,43,13,82.7,1047.11,Aylik,DSL,Kredi Karti,Hayir,1
249,66,12,58.82,723.9,2 Yillik,DSL,Elektronik Cek,Hayir,1
250,20,31,54.54,1757.65,Aylik,Fiber,Elektronik Cek,Hayir,1
251,29,37,73.39,2768.05,Aylik,Fiber,Havale,Hayir,0
252,48,40,97.19,3910.4,Aylik,DSL,Kredi Karti,Hayir,1
253,29,18,57.89,975.44,Aylik,Fiber,Elektronik Cek,Hayir,0
254,38,37,78.75,2847.35,1 Yillik,Fiber,Elektronik Cek,Hayir,0
255,58,22,116.62,2592.3,Aylik,DSL,Havale,Hayir,0
256,26,50,72.2,3542.73,1 Yillik,Fiber,Havale,Evet,0
257,60,58,110.98,6425.56,2 Yillik,Fiber,Elektronik Cek,Hayir,0
258,24,47,99.37,4685.6,Aylik,Fiber,Elektronik Cek,Evet,0
259,28,1,25.87,0.0,1 Yillik,Yok,Elektronik Cek,Evet,0
260,54,72,62.91,4478.31,Aylik,Yok,Otomatik Odeme,Hayir,0
261,67,2,89.83,174.95,2 Yillik,DSL,Havale,Hayir,1
262,28,72,118.67,8569.42,2 Yillik,DSL,Elektronik Cek,Hayir,1
263,36,3,65.84,250.6,Aylik,DSL,Otomatik Odeme,Evet,0
264,75,38,29.28,1142.99,1 Yillik,DSL,Kredi Karti,Evet,1
265,79,8,76.2,613.28,Aylik,Fiber,Havale,Evet,0
266,54,7,32.66,191.31,Aylik,Yok,Kredi Karti,Hayir,1
267,45,50,95.15,4703.95,1 Yillik,Yok,Havale,Evet,0
268,39,53,70.77,3725.27,Aylik,DSL,Kredi Karti,Hayir,0
269,55,9,92.34,851.56,1 Yillik,Fiber,Elektronik Cek,Evet,0
270,54,71,106.94,7609.57,Aylik,DSL,Kredi Karti,Hayir,1
271,36,24,82.89,1884.36,Aylik,Fiber,Elektronik Cek,Hayir,1
272,19,23,81.24,1829.24,2 Yillik,DSL,Elektronik Cek,Hayir,0
273,27,22,95.46,2160.35,Aylik,Yok,Otomatik Odeme,Hayir,1
274,77,34,104.25,3548.46,1 Yillik,Yok,Havale,Evet,0
275,43,13,106.91,1318.98,Aylik,DSL,Havale,Hayir,0
276,47,31,23.64,850.63,2 Yillik,Fiber,Kredi Karti,Hayir,0
277,46,16,75.62,1208.47,1 Yillik,Fiber,Elektronik Cek,Evet,1
278,66,4,41.63,185.74,Aylik,Yok,Kredi Karti,Hayir,1
279,22,27,106.03,2882.79,Aylik,Fiber,Kredi Karti,Hayir,1
280,23,49,84.84,4138.78,Aylik,DSL,Otomatik Odeme,Hayir,1
281,35,55,62.02,3374.72,2 Yillik,Fiber,Elektronik Cek,Hayir,0
282,48,26,38.81,1115.14,Aylik,DSL,Kredi Karti,Hayir,1
283,59,24,53.9,1343.76,Aylik,Fiber,Elektronik Cek,Hayir,1
284,48,57,90.38,5192.76,1 Yillik,DSL,Havale,Evet,0
285,45,50,40.44,2050.81,Aylik,Fiber,Kredi Karti,Evet,0
286,76,60,29.36,1711.43,Aylik,Yok,Havale,Evet,0
287,27,66,108.8,7244.68,Aylik,DSL,Otomatik Odeme,Hayir,1
288,53,60,96.42,5743.04,Aylik,Fiber,Kredi Karti,Hayir,0
289,51,68,39.98,2732.8,1 Yillik,Fiber,Havale,Evet,0
290,47,30,49.23,1394.93,2 Yillik,DSL,Otomatik Odeme,Hayir,0
291,68,29,117.21,3297.05,2 Yillik,Fiber,Havale,Evet,0
292,34,24,90.82,2195.59,2 Yillik,Fiber,Kredi Karti,Hayir,0
293,77,17,81.05,1337.4,Aylik,Fiber,Havale,Evet,1
294,38,54,50.76,2641.58,Aylik,Yok,Elektronik Cek,Hayir,0
295,51,52,49.91,2622.35,1 Yillik,Fiber,Otomatik Odeme,Hayir,1
296,50,58,23.95,1495.1,2 Yillik,Fiber,Elektronik Cek,Hayir,0
297,70,13,92.85,1276.53,1 Yillik,DSL,Kredi Karti,Evet,0
298,45,36,24.32,862.65,Aylik,DSL,Otomatik Odeme,Hayir,0
299,35,16,20.49,328.28,1 Yillik,DSL,Otomatik Odeme,Hayir,0
300,19,65,92.95,6086.14,1 Yillik,Yok,Elektronik Cek,Evet,0
301,40,20,114.89,2353.91,2 Yillik,Yok,Otomatik Odeme,Hayir,0
302,69,11,95.65,1034.97,1 Yillik,Yok,Otomatik Odeme,Evet,1
303,18,42,67.16,2822.43,Aylik,DSL,Kredi Karti,Evet,0
304,73,64,68.6,4405.43,Aylik,Fiber,Havale,Hayir,0
305,51,66,63.61,4225.95,Aylik,Fiber,Elektronik Cek,Evet,0
306,26,7,52.46,360.57,Aylik,Fiber,Havale,Hayir,0
307,36,24,72.17,1726.08,2 Yillik,DSL,Elektronik Cek,Hayir,0
308,52,12,63.12,826.43,Aylik,Yok,Elektronik Cek,Evet,0
309,37,23,79.82,1896.34,Aylik,DSL,Kredi Karti,Evet,0
310,24,39,109.81,4306.46,Aylik,DSL,Elektronik Cek,Hayir,0
311,59,21,119.5,2595.46,1 Yillik,Yok,Kredi Karti,Hayir,0
312,59,5,27.87,120.03,Aylik,Fiber,Elektronik Cek,Hayir,1
313,25,37,58.47,2244.54,Aylik,Fiber,Havale,Hayir,0
314,35,4,38.07,179.41,2 Yillik,Fiber,Kredi Karti,Hayir,1
315,33,17,55.21,1102.12,Aylik,Yok,Otomatik Odeme,Hayir,0
316,58,1,48.75,0.0,Aylik,DSL,Havale,Evet,1
317,63,7,37.45,227.68,Aylik,Fiber,Kredi Karti,Hayir,1
318,63,32,96.41,3106.06,1 Yillik,DSL,Havale,Hayir,0
319,76,62,69.63,4336.92,1 Yillik,DSL,Otomatik Odeme,Hayir,0
320,65,56,111.92,6365.03,2 Yillik,Fiber,Kredi Karti,Evet,0
321,37,8,23.26,152.66,Aylik,Fiber,Havale,Hayir,1
322,24,3,26.7,125.35,2 Yillik,DSL,Havale,Evet,0
323,56,25,60.33,1566.37,1 Yillik,Fiber,Otomatik Odeme,Hayir,0
324,74,47,28.03,1352.64,Aylik,Fiber,Kredi Karti,Evet,0
325,78,54,46.27,2450.53,Aylik,Fiber,Kredi Karti,Evet,0
326,32,60,118.6,7186.39,Aylik,Fiber,Elektronik Cek,Hayir,0
327,32,25,40.9,1083.97,2 Yillik,Yok,Kredi Karti,Hayir,0
328,20,13,39.81,547.51,Aylik,Fiber,Elektronik Cek,Hayir,1
329,26,2,77.36,164.94,Aylik,Fiber,Havale,Evet,1
330,52,11,69.8,779.11,1 Yillik,Fiber,Elektronik Cek,Hayir,0
331,51,5,78.04,386.26,2 Yillik,Fiber,Kredi Karti,Evet,0
332,40,62,57.67,3607.58,1 Yillik,DSL,Elektronik Cek,Hayir,0
333,37,20,102.68,2055.16,1 Yillik,DSL,Elektronik Cek,Hayir,0
334,69,60,33.86,1989.17,Aylik,DSL,Kredi Karti,Hayir,0
335,46,40,62.84,2461.17,2 Yillik,Fiber,Havale,Evet,0
336,68,39,88.98,3432.62,Aylik,Yok,Kredi Karti,Evet,1
337,77,33,106.82,3536.17,Aylik,Fiber,Kredi Karti,Hayir,0
338,37,59,56.96,3359.29,2 Yillik,Fiber,Elektronik Cek,Evet,0
339,30,4,76.77,317.85,Aylik,Fiber,Havale,Evet,1
340,77,7,26.91,213.41,Aylik,Fiber,Otomatik Odeme,Hayir,1
341,57,31,37.03,1116.56,1 Yillik,Fiber,Havale,Hayir,0
342,36,29,26.91,853.67,Aylik,Fiber,Elektronik Cek,Hayir,1
343,56,40,92.79,3698.21,Aylik,Fiber,Elektronik Cek,Hayir,1
344,49,54,48.81,2614.07,1 Yillik,DSL,Elektronik Cek,Hayir,0
345,74,43,92.37,3996.03,1 Yillik,Fiber,Otomatik Odeme,Hayir,0
346,33,19,26.64,414.33,1 Yillik,Fiber,Elektronik Cek,Hayir,1
347,79,24,106.25,2510.47,Aylik,Fiber,Elektronik Cek,Hayir,1
348,76,55,103.55,5744.3,1 Yillik,Yok,Elektronik Cek,Evet,0
349,29,15,28.89,346.48,2 Yillik,Fiber,Havale,Hayir,0
350,28,37,22.38,883.94,Aylik,Fiber,Elektronik Cek,Hayir,1
351,51,39,25.63,1075.13,Aylik,DSL,Otomatik Odeme,Hayir,1
